Moscow,Central,77,55.7558,37.6173,2562,13010112
Saint Petersburg,Northwest,78,59.9311,30.3609,1439,5601911
Novosibirsk,Siberia,54,54.9833,82.8964,507,1633595
Yekaterinburg,Ural,66,56.8431,60.6454,468,1544376
Kazan,Volga,16,55.7879,49.1233,614,1308660
Nizhny Novgorod,Volga,52,56.3269,44.0059,411,1228199
Chelyabinsk,Ural,74,55.1644,61.4368,502,1189525
Krasnoyarsk,Siberia,24,56.0153,92.8932,354,1187771
Samara,Volga,63,53.2038,50.1606,541,1173299
Ufa,Volga,2,54.7348,55.9579,708,1144809
Petergof,Northwest,78,59.88,29.89,48,80701
